Nutrition_Protein,Nutrition_Carbohydrates,Nutrition_Minerals,Environmental_Temperature,Environmental_Humidity,Previous_Milk_Production,Milk_Production
28.73375917,42.34437669,13.97448157,25.34370894,46.7284437,19.74164728,18.27339195
29.89770402,33.14629422,15.13611047,21.91594855,73.34296439,11.1376118,9.405678725
18.73820431,35.68540689,12.5335717,29.49409065,47.8043528,5.560974967,11.38301961
28.59487523,44.60186085,19.87659592,16.1902442,75.70445312,7.971319232,18.56212179
24.19294825,35.05260753,12.91495741,17.27234377,58.34599592,3.402606548,10.60526451
28.87816463,34.44734672,17.70742531,15.78856075,67.07907009,15.23774558,7.071822919
24.8558273,43.77311999,14.2749565,26.980076,59.88963392,15.46948036,15.94310212
25.94534412,31.66122668,12.06217405,29.4145591,43.75963718,17.50241985,8.85700395
24.5253469,41.39373615,17.99718764,16.49951427,51.6288923,0.532051272,6.369388512
28.37391456,44.8209835,13.33606789,32.30938722,79.34927416,11.23962683,14.46458917
26.80691903,43.51944016,18.65193347,20.52948172,78.42859007,4.285108687,16.03211353
24.25512375,39.77501878,19.15257185,31.44483489,52.81947591,6.81766031,15.83432335
28.41792965,34.71091192,18.59823835,38.56553136,79.85187217,15.69911231,19.55348828
20.94342639,33.81482972,10.35007915,31.58654088,73.82204782,3.840673047,15.73333898
19.88808792,42.28882657,17.87373345,36.19663327,64.43837998,12.76683501,15.39866872
19.92480126,43.19732871,14.11339466,37.75676416,41.60498481,13.09132382,17.14970507
22.00810654,37.88152369,18.7372292,26.68202516,76.05787318,19.0818783,0.003703906
20.86428038,33.66509911,16.37954263,31.85579951,62.29717117,15.50321857,7.248628224
29.16108421,31.69414813,18.33643134,35.44726209,74.73904605,16.07270294,14.75206192
19.27000913,31.30769202,14.9943177,23.55861391,73.3771648,10.63201498,11.99438022
26.38788886,40.78616171,15.35025505,21.2735356,73.32024861,3.735616143,3.551440053
20.27065848,36.30178092,11.44387632,37.71836575,67.92695443,8.511267314,6.074661782
28.57964559,43.58039811,17.83987359,32.43128401,51.65660555,10.98979147,6.735852222
29.53578346,41.09506951,14.19389612,20.2723712,53.44641031,13.56838503,11.35656222
23.58564011,32.86890627,15.00080118,25.77800142,52.3387685,12.15418224,16.63196593
28.54885776,39.20666128,17.85097714,34.11484247,40.80183998,7.879556578,18.6498356
18.06174205,36.53258182,15.988454,28.12951178,63.30275637,5.30626214,15.00184826
27.83936301,38.65874596,12.01098727,30.59885036,67.95334682,3.364616864,16.8590078
20.74350194,41.07103685,15.90232659,33.09043685,74.15463974,13.87690773,9.401919169
28.90441571,42.09293822,14.07632858,29.92822053,45.60661734,12.90797349,7.795506392
18.01344134,42.6560599,14.69525542,27.96190373,61.76732596,13.74744932,7.854170643
24.67418082,33.80962312,10.28311274,32.99074283,40.32032563,7.450549056,12.32077057
27.07962965,30.466734,12.1002935,32.46151285,43.80374591,5.248156451,2.484734111
21.10425997,41.08942103,12.81038081,30.1169376,42.16846977,15.19442657,11.58988366
20.31759438,31.59515589,17.12960008,23.63494592,69.01912136,15.4729479,13.3026572
19.00917869,34.72379383,10.11492473,24.73949021,43.24238256,9.112327479,8.778174804
21.91720292,30.05725701,14.08777261,38.29052517,68.65811926,12.2380817,19.06334354
24.71813175,40.22504224,19.2402687,17.69726237,49.98498818,7.470393285,12.16426545
19.39012628,32.50698017,11.11880617,21.44411801,75.10851843,14.038944,4.399989445
22.52034434,39.82923615,15.16424388,26.81764222,72.52599953,16.71443193,9.584325149
18.10886886,44.87613926,17.86522382,35.08151247,78.3132087,13.76466555,13.50808874
27.82415305,31.09006307,19.42531308,18.92821593,75.35048062,10.25165254,6.472582492
19.54138462,31.15617018,17.4677664,21.64691083,77.33317676,9.17315919,1.592832126
21.40011538,35.10570139,17.20565549,16.57915723,74.34969586,12.84639302,11.66871269
18.22113262,42.99579771,18.2648809,31.94364639,67.73527602,13.59621783,18.95740337
23.18688941,33.23294803,14.46201221,20.71702645,46.81036609,11.17458887,9.701439711
28.08145803,35.4056673,18.05844533,24.32819402,50.86830075,12.4988455,18.12218161
22.70581454,31.0275811,10.07964405,25.64883473,48.50907865,1.93177365,16.70047177
20.15396788,41.44732937,19.24561055,36.39153445,64.14343151,19.03531032,2.948255673
27.04438601,36.12459514,14.4330651,24.87192697,60.14479752,15.81546127,14.16339844
27.46568378,41.388731,15.53380188,18.48540048,74.68319989,7.478557394,8.709310501
20.0850417,43.55411767,12.54882249,27.58355852,78.10691466,11.25625222,5.004926505
